chosen,rejected
-6.198988914489746,-6.30994176864624
-6.089548587799072,-6.055670738220215
-5.994285583496094,-6.300375938415527
-5.9076032638549805,-5.2856316566467285
-6.031192779541016,-5.850008010864258
-6.525080680847168,-6.358686923980713
-6.33870267868042,-6.499421119689941
-5.585564613342285,-5.488044738769531
-6.0778584480285645,-6.535468578338623
-6.439761161804199,-6.341571807861328
-6.069165229797363,-6.218715190887451
-5.517887592315674,-5.788680076599121
-5.899534225463867,-5.87186336517334
-4.615517616271973,-5.1199188232421875
-6.250676155090332,-6.591856956481934
-6.195995807647705,-6.130853176116943
-6.570951461791992,-3.1085076332092285
-5.736213684082031,-5.4710893630981445
-5.757065296173096,-5.131911754608154
-6.383161544799805,-6.398029804229736
-6.2284393310546875,-6.287964344024658
-6.186535835266113,-6.273604393005371
-5.476620674133301,-5.13887882232666
-5.687922477722168,-6.087512016296387
-6.198009967803955,-6.068754196166992
-5.888219833374023,-5.915635108947754
-5.893678665161133,-5.846798896789551
-6.6786603927612305,-6.675891399383545
-2.709228038787842,-4.135878086090088
-5.9951677322387695,-5.697827339172363
-5.742324352264404,-5.914989471435547
-6.519997596740723,-6.571946144104004
-6.085441589355469,-6.336703300476074
-6.145574569702148,-6.383014678955078
-6.670104026794434,-6.7379655838012695
-5.766955852508545,-5.686344146728516
-6.5689239501953125,-6.820257663726807
-5.648937225341797,-5.458054542541504
-6.022704124450684,-5.565157890319824
-4.586918830871582,-5.905284881591797
-5.90717077255249,-5.859254837036133
-6.732619285583496,-2.742365598678589
-5.8887176513671875,-5.847709655761719
-5.332370758056641,-5.603643894195557
-5.680228233337402,-5.963500499725342
-6.281579494476318,-6.188873291015625
-6.073700428009033,-6.280861854553223
-6.045101642608643,-6.569915771484375
-6.419532299041748,-5.979789733886719
-5.964214324951172,-5.819438457489014
-5.676139831542969,-5.5576252937316895
-6.731313705444336,-6.695570468902588
-5.663061141967773,-5.1586480140686035
-6.580491065979004,-4.760263442993164
-5.7710981369018555,-5.918948173522949
-6.776416301727295,-6.465415000915527
-5.746203899383545,-5.985843658447266
-4.7125244140625,-6.3062286376953125
-5.392313003540039,-5.029013633728027
-3.2603659629821777,-5.631950855255127
-6.395752906799316,-6.417232990264893
-6.556363105773926,-6.606818199157715
-6.107321262359619,-6.2561469078063965
-5.674488067626953,-5.436351776123047
-6.700603008270264,-6.563543319702148
-6.47721004486084,-6.283328533172607
-6.2080512046813965,-6.355175971984863
-5.953623294830322,-5.90981912612915
-6.363351821899414,-6.271677494049072
-6.389071941375732,-6.015021324157715
-5.322553634643555,-4.889823913574219
-6.469458103179932,-6.608670711517334
-5.993981838226318,-6.317768573760986
-6.564908027648926,-6.4241461753845215
-6.547148704528809,-6.544878005981445
-4.363786697387695,-5.501631736755371
-6.4840497970581055,-6.536353588104248
-6.5945281982421875,-6.164311408996582
-6.4334564208984375,-6.44950532913208
-6.360645294189453,-6.332457542419434
-6.526822566986084,-6.449376106262207
-6.633664131164551,-6.6554155349731445
-6.754961013793945,-6.0749664306640625
-6.155290603637695,-6.500674724578857
-6.073345184326172,-6.683479309082031
-6.472053527832031,-6.566407203674316
-3.6543703079223633,-3.525585651397705
-5.895599365234375,-6.009672164916992
-6.024191856384277,-5.8784332275390625
-3.1324591636657715,-5.918671607971191
-6.100185871124268,-6.096552848815918
-6.6526570320129395,-5.858468532562256
-6.327750205993652,-6.586005210876465
-5.972997665405273,-5.652581214904785
-5.1730241775512695,-5.567464351654053
-5.69324254989624,-6.432397365570068
-6.497740745544434,-6.421895980834961
-6.370344638824463,-6.667396068572998
-6.278462886810303,-6.632258892059326
-6.639028072357178,-6.635220527648926
-6.268404960632324,-6.24603271484375
-6.251034736633301,-6.208393573760986
-6.210391521453857,-6.452021598815918
-5.906700611114502,-5.166380882263184
-6.161548614501953,-6.471602439880371
-5.597661018371582,-5.136329650878906
-5.481616020202637,-6.262371063232422
-6.005422592163086,-6.117917537689209
-6.601446151733398,-6.614720344543457
-6.374512195587158,-5.96318244934082
-5.815206527709961,-6.199102401733398
-6.231863021850586,-5.6343092918396
-5.850428581237793,-6.118043422698975
-5.9957594871521,-5.999752044677734
-6.061542987823486,-5.847630500793457
-6.268978118896484,-5.21751070022583
-5.489317417144775,-5.115485191345215
-6.553703308105469,-6.4552717208862305
-6.080389976501465,-6.072832107543945
-5.722475051879883,-4.98460054397583
-4.670159816741943,-5.756239414215088
-6.059994220733643,-6.384011268615723
-6.020430564880371,-6.097714900970459
-5.7284955978393555,-4.138765335083008
-5.941262245178223,-6.214323043823242
-5.947449684143066,-6.120652675628662
-5.680365562438965,-5.314295291900635
-6.258750915527344,-3.8307223320007324
-6.398662567138672,-6.32747745513916
-6.106730937957764,-6.190162658691406
-5.7418694496154785,-5.795135498046875
-5.739222526550293,-5.985386371612549
-4.713985919952393,-6.303694725036621
-6.1933393478393555,-5.991528511047363
-6.104979038238525,-5.952481269836426
-5.0698089599609375,-4.904667377471924
-6.29622220993042,-6.009305953979492
-6.0315165519714355,-5.4694647789001465
-6.036266326904297,-5.949789047241211
-6.501047611236572,-6.4394330978393555
-5.15069580078125,-6.505745887756348
-5.854526519775391,-3.968996047973633
-6.19840145111084,-5.927798271179199
-5.658543109893799,-6.0116472244262695
-6.187847137451172,-6.045863151550293
-6.009199142456055,-6.155825614929199
-6.045083045959473,-6.098873138427734
-6.264497756958008,-6.243556022644043
-6.516323566436768,-6.352734565734863
-5.739579200744629,-5.906913757324219
-6.050261497497559,-5.931185245513916
-6.900400161743164,-6.619797706604004
-5.742028713226318,-6.231396675109863
-6.00695276260376,-6.060688018798828
-6.41825532913208,-6.443952560424805
-3.3119657039642334,-5.983275413513184
-5.987302303314209,-6.244721412658691
-6.242685317993164,-6.234431743621826
-6.0613532066345215,-6.046209335327148
-5.80010461807251,-5.708719253540039
-6.277836799621582,-6.246282577514648
-6.149561882019043,-6.176319599151611
-5.904883861541748,-5.773746490478516
-6.494740009307861,-6.226511001586914
-5.781744003295898,-6.136558532714844
-5.893402099609375,-5.787610054016113
-6.158153533935547,-6.546228408813477
-6.4605607986450195,-5.585183620452881
-5.921896934509277,-5.918890953063965
-6.508156776428223,-6.168630123138428
-6.693167209625244,-6.880134105682373
-5.75049352645874,-6.0590105056762695
-5.837524890899658,-4.201045989990234
-6.238442897796631,-6.330663204193115
-6.59510612487793,-5.651464462280273
-5.938495635986328,-5.873239517211914
