chosen,rejected
-5.703764915466309,-5.287334442138672
-3.0170326232910156,-2.8917651176452637
-4.210039138793945,-3.589433193206787
-4.479923248291016,-5.053025722503662
-5.336223125457764,-5.016908645629883
-5.943429946899414,-4.434670925140381
-4.948833465576172,-4.856034755706787
-5.213444709777832,-3.649836301803589
-3.562033176422119,-3.42824125289917
-4.126888751983643,-4.430947303771973
-2.9099502563476562,-4.0650105476379395
-2.6516480445861816,-4.70933723449707
-2.439383029937744,-2.9629759788513184
-6.180894374847412,-5.247320652008057
-4.114431381225586,-3.6348648071289062
-5.966122627258301,-5.425597190856934
-3.851423740386963,-5.17100715637207
-5.3361053466796875,-4.5010833740234375
-6.338237285614014,-6.739596366882324
-3.234189748764038,-4.886743545532227
-5.2854180335998535,-4.9692230224609375
-6.770475387573242,-5.696323394775391
-2.1923468112945557,-1.7610489130020142
-4.216128349304199,-4.762794017791748
-4.051776885986328,-5.039730072021484
-4.261889457702637,-2.3885626792907715
-4.291926383972168,-5.363766670227051
-5.4610466957092285,-5.79816198348999
-5.815127849578857,-4.816564559936523
-5.606724262237549,-5.548394680023193
-1.2117886543273926,-3.163459539413452
-4.385047435760498,-4.549986839294434
-5.9690446853637695,-6.0342607498168945
-6.065394401550293,-6.053178787231445
-3.6479437351226807,-4.337530612945557
-5.0013556480407715,-4.471525192260742
-2.8979852199554443,-1.8148788213729858
-6.230477333068848,-4.021787166595459
-3.2773795127868652,-3.7125580310821533
-4.849905967712402,-4.956250190734863
-4.207124710083008,-4.527576446533203
-6.105312824249268,-5.426736354827881
-4.01372766494751,-4.120656490325928
-4.678672790527344,-4.852707862854004
-4.2841596603393555,-3.957760810852051
-6.398582458496094,-6.654867649078369
-2.402726173400879,-3.8547873497009277
-6.349947929382324,-5.950417518615723
-3.743109941482544,-4.580600738525391
-4.623048782348633,-4.087691783905029
-4.307666778564453,-4.467212200164795
-5.165423393249512,-5.795204162597656
-4.076724052429199,-3.519913673400879
-3.6372246742248535,-5.638253211975098
-5.974175453186035,-4.859328269958496
-3.787010669708252,-6.17657995223999
-4.482595920562744,-5.2746782302856445
-5.211041450500488,-4.958264350891113
-2.258289098739624,-3.071582794189453
-5.673329830169678,-5.474847793579102
-5.3773627281188965,-5.4145097732543945
-5.273403644561768,-5.250835418701172
-3.604017734527588,-6.083224773406982
-4.829558372497559,-4.205694675445557
-5.418522357940674,-4.9464335441589355
-2.3018226623535156,-1.8728375434875488
-2.650597095489502,-3.8467648029327393
-5.769372463226318,-5.342738628387451
-1.7397719621658325,-2.921321392059326
-3.895859956741333,-0.41460931301116943
-6.387369155883789,-7.195981025695801
-3.733736991882324,-3.5606956481933594
-5.450231552124023,-5.940139293670654
-6.569756984710693,-6.978108882904053
-4.511791229248047,-4.515655040740967
-5.865190029144287,-5.947523593902588
-4.896432876586914,-4.748449802398682
-5.4056830406188965,-5.888953685760498
-5.3629069328308105,-5.500727653503418
-5.121514797210693,-3.986663341522217
-0.3833734095096588,-1.0506863594055176
-3.6319079399108887,-5.770716667175293
-6.726145267486572,-5.678490161895752
-5.689840316772461,-6.4791059494018555
-3.6846272945404053,-2.558457136154175
-2.610607624053955,-1.9468371868133545
-3.100952625274658,-4.150662899017334
-5.526501178741455,-3.9724948406219482
-5.018338203430176,-4.966326713562012
-2.1320297718048096,-3.3104734420776367
-5.7050065994262695,-5.382284164428711
-4.918153762817383,-4.612871170043945
-3.037014961242676,-3.9512124061584473
-3.760899066925049,-5.09036111831665
-3.4621570110321045,-3.127903938293457
-4.733397960662842,-5.297271251678467
-5.0293498039245605,-5.333755016326904
-3.9967825412750244,-4.026554584503174
-5.3797783851623535,-4.791093349456787
-6.787644863128662,-3.443544864654541
-6.015658378601074,-5.062206268310547
-4.281239032745361,-4.8788042068481445
-4.871811866760254,-4.03488302230835
-5.1674089431762695,-6.247281074523926
-2.989755392074585,-3.7814855575561523
-1.9927127361297607,-1.0630052089691162
-4.420191287994385,-4.5572614669799805
-6.125693321228027,-5.7020263671875
-0.9695031642913818,-2.260341167449951
-4.5258893966674805,-4.790797233581543
-2.652280569076538,-5.619363307952881
-4.580996990203857,-4.0161542892456055
-5.810651779174805,-5.928201675415039
-0.2327018529176712,0.49323123693466187
-5.648447036743164,-6.403729438781738
-3.903475284576416,-5.563910484313965
-1.3742225170135498,-0.8313136100769043
-5.56793212890625,-6.154854774475098
-4.987046241760254,-5.055667400360107
-4.2319016456604,-5.72936487197876
-0.6602025628089905,-3.665215492248535
-6.445603847503662,-6.420299530029297
-2.895362377166748,-4.947734832763672
-3.358475685119629,-3.233381748199463
-5.157687187194824,-3.7396702766418457
-5.37434720993042,-3.831305503845215
-5.438603401184082,-6.031559467315674
-4.700662612915039,-4.37239933013916
-3.389037609100342,-3.826322555541992
-5.2592244148254395,-2.341510534286499
-4.274677753448486,-5.089817047119141
-6.037686347961426,-5.401086807250977
-4.857025623321533,-5.6023712158203125
-5.468608379364014,-3.402778148651123
-5.72633171081543,-6.160968780517578
-6.463007926940918,-5.42805814743042
-5.290983200073242,-5.761673927307129
-4.5506391525268555,-1.763434886932373
-5.68185567855835,-5.951744079589844
-3.1973767280578613,-2.838573455810547
-5.124492645263672,-5.806779861450195
-4.229245185852051,-5.793635368347168
-5.288022994995117,-4.438713550567627
-1.5199605226516724,-2.8924202919006348
-2.647592544555664,-2.865724563598633
-4.666831970214844,-4.684406280517578
-3.034992218017578,-2.9270050525665283
-5.672585964202881,-4.735635757446289
