chosen,rejected
-5.489585876464844,-6.19456148147583
-6.062789440155029,-5.917097568511963
-5.915728569030762,-5.966187477111816
-6.446197509765625,-6.369555473327637
-5.988917350769043,-6.066967964172363
-5.537667274475098,-6.5700578689575195
-5.565948486328125,-5.4093780517578125
-6.425928115844727,-5.005300045013428
-4.7270307540893555,-5.324437141418457
-2.8387231826782227,-6.214848518371582
-5.790192127227783,-5.976787567138672
-3.192166805267334,-5.0707807540893555
-5.800614356994629,-6.140501499176025
-5.665848731994629,-5.779905319213867
-5.464179992675781,-5.500073432922363
-4.0291242599487305,-5.816026210784912
-5.887644290924072,-5.775974750518799
-6.085585117340088,-5.393964767456055
-5.007932662963867,-5.3000264167785645
-6.503267288208008,-6.435266494750977
-6.412064552307129,-5.9885101318359375
-5.894787788391113,-6.417238235473633
-5.654107093811035,-5.582579612731934
-6.378243923187256,-5.96008825302124
-6.253494739532471,-5.366272926330566
-5.454807281494141,-5.0077314376831055
-6.7501540184021,-6.658908843994141
-5.254255294799805,-5.308982849121094
-6.333251476287842,-6.253767490386963
-6.515979290008545,-6.56836462020874
-2.6162540912628174,-6.19386625289917
-4.522613525390625,-6.422234058380127
-6.667716026306152,-6.632673740386963
-5.280698776245117,-5.779276371002197
-6.630268096923828,-6.736725807189941
-6.192465782165527,-5.911794185638428
-5.733518600463867,-5.770439147949219
-6.52348518371582,-6.700232982635498
-5.789970397949219,-5.699617385864258
-5.271639347076416,-6.516416072845459
-4.416009426116943,-4.898082733154297
-5.460118293762207,-4.335272789001465
-5.875884056091309,-5.439017295837402
-5.428009986877441,-5.60383939743042
-6.4514479637146,-6.375942230224609
-6.351158142089844,-6.407219886779785
-5.422700881958008,-5.705765724182129
-5.804938793182373,-4.624900817871094
-5.847994327545166,-6.148008346557617
-5.8147501945495605,-5.849405765533447
-3.6482295989990234,-5.94119119644165
-3.348754644393921,-4.785832405090332
-5.700638771057129,-6.130980491638184
-6.8350830078125,-6.868330955505371
-5.333076477050781,-6.145895957946777
-6.732306480407715,-6.896726131439209
-6.546928405761719,-6.241830825805664
-5.944991111755371,-5.0546650886535645
-5.576566696166992,-5.890059947967529
-5.588360786437988,-5.433061599731445
-5.926885604858398,-6.101958274841309
-4.198241233825684,-1.7702516317367554
-5.366269588470459,-5.867887496948242
-5.926205635070801,-6.047118663787842
-6.015392303466797,-5.828619956970215
-6.426122188568115,-6.533206939697266
-5.906097412109375,-6.122806549072266
-6.648637771606445,-6.032419681549072
-6.118477821350098,-6.173149108886719
-5.968252658843994,0.7502850294113159
-6.070160865783691,-6.1532464027404785
-5.364537239074707,-6.091731548309326
-5.930602073669434,-5.954843997955322
-5.822795867919922,-4.676558494567871
-5.665943622589111,-5.530393123626709
-6.245327949523926,-6.061860084533691
-3.378335475921631,-5.374366760253906
-5.910501480102539,-6.79141902923584
-4.152904033660889,-4.085317134857178
-6.583706378936768,-6.4255571365356445
-5.080780029296875,-3.0520007610321045
-6.245644569396973,-6.112876892089844
-5.592499732971191,-2.0041067600250244
-6.2919111251831055,-6.33514404296875
-5.744831562042236,-5.507863998413086
-6.672023296356201,-6.619773864746094
-6.410924434661865,-2.9873390197753906
-6.009653091430664,-6.158036708831787
-5.605810165405273,-4.172390937805176
-2.6343863010406494,-4.597562313079834
-5.5676774978637695,-6.692056655883789
-6.2896728515625,-6.165378570556641
-2.3459222316741943,-3.2426719665527344
-2.126286268234253,-6.546201705932617
-4.89957332611084,-6.4438796043396
-6.60914421081543,-6.377985954284668
-6.317813396453857,-6.553957939147949
-5.7136993408203125,-5.763832092285156
-6.0137176513671875,-4.894873142242432
-5.240624904632568,-4.668859958648682
-5.466684341430664,-2.3938543796539307
-6.4758477210998535,-6.25566291809082
-4.285379409790039,-6.150245189666748
-5.239604949951172,-5.8128275871276855
-5.8305253982543945,-5.317636489868164
-4.25173807144165,-6.216508865356445
-4.183737754821777,-4.319456100463867
-6.403261184692383,-6.3906707763671875
-5.80540657043457,-5.898186683654785
-6.214845180511475,-6.291326522827148
-2.3038206100463867,0.7700016498565674
-5.05729866027832,-5.893791675567627
-6.445377349853516,-6.628802299499512
-5.4929327964782715,-6.217313289642334
-4.49678373336792,-5.642491340637207
-3.789677619934082,-5.2373809814453125
-6.176215171813965,-5.697328567504883
-4.218499183654785,-5.283003807067871
-6.133625030517578,-5.70577335357666
-6.41666841506958,-6.471357822418213
-6.204156875610352,-6.286332130432129
-3.5066611766815186,-5.114287853240967
-6.609684467315674,-6.617403030395508
-5.984325885772705,-5.919614791870117
-5.550242900848389,-4.762463092803955
-5.064289093017578,-5.242832660675049
-4.710705757141113,-0.1860329806804657
-5.858232498168945,-6.466415882110596
-5.867855548858643,-5.86025333404541
-6.476576328277588,-6.687196254730225
-5.24658203125,-5.959133148193359
-5.643303871154785,-5.600026607513428
-6.158292770385742,-6.412503242492676
-5.987763404846191,-6.172215938568115
-3.0147063732147217,-5.233155250549316
-6.170924186706543,-2.858236074447632
-6.1243391036987305,-5.747828006744385
-6.32332706451416,-6.241636276245117
-6.3161773681640625,-5.399951457977295
-4.895449638366699,-4.157888889312744
-6.301542282104492,-5.6162309646606445
-6.120991230010986,-4.831141948699951
-6.141478538513184,-6.23531436920166
-3.70328688621521,-4.7129034996032715
-6.500917434692383,-6.416769504547119
-6.332385540008545,-2.224748134613037
-6.299015998840332,-5.695354461669922
-5.573493003845215,-6.132039546966553
-6.503706932067871,-6.233079433441162
-4.9885759353637695,-1.6224515438079834
-6.332026958465576,-6.234317779541016
-6.208003044128418,-6.012387275695801
-5.013582229614258,-6.552002429962158
-4.965620040893555,-6.657903671264648
-2.874746799468994,-6.677351951599121
-6.488686561584473,-6.461470603942871
-5.7895426750183105,-4.317958831787109
-5.822369575500488,-6.09760856628418
-6.042197227478027,-3.4661688804626465
-6.372884750366211,-6.479323387145996
-6.026899337768555,-6.174827575683594
-6.3496832847595215,-6.382673263549805
-6.318787574768066,-5.730689525604248
-5.979791641235352,-6.015328407287598
-4.9041924476623535,-5.622369289398193
-4.373810768127441,-5.216137886047363
-5.856961250305176,-3.1155970096588135
-4.9660964012146,-6.168079376220703
-4.140995979309082,-5.653727054595947
-6.139449596405029,-5.981154918670654
-5.581576347351074,-5.646585464477539
-5.862736225128174,-6.608973503112793
-2.2107598781585693,-3.547452211380005
-5.795977592468262,-5.74921989440918
-5.818316459655762,-5.76615571975708
-6.101515293121338,-6.45413064956665
-1.0911823511123657,-5.532602787017822
-6.509092330932617,-5.577497482299805
-6.0266218185424805,-6.178812026977539
-4.04950475692749,-4.6478166580200195
-6.086214542388916,-6.015749931335449
-4.183281421661377,-6.499360084533691
-4.308812618255615,-6.682602405548096
-5.694812774658203,-5.721363067626953
-5.15968132019043,-6.000361919403076
-6.324858665466309,-6.321475505828857
-5.5590057373046875,-5.519392490386963
-6.398769378662109,-6.046609878540039
-5.980243682861328,-6.192572116851807
-6.151762962341309,-6.108234405517578
-6.279374122619629,-4.761875152587891
-6.124897003173828,-6.288814544677734
-5.944630146026611,-5.959521293640137
-6.351431846618652,-6.165219306945801
-6.043874263763428,-5.568825721740723
-4.888426780700684,-6.140745162963867
-6.663722515106201,-6.738621711730957
-2.037829637527466,-6.504748344421387
-5.5300116539001465,-5.54066276550293
-5.396477222442627,-5.247189521789551
-5.90557861328125,-5.966648101806641
-4.162998676300049,-2.8861243724823
-6.626312255859375,-5.474416255950928
-5.794445991516113,-6.50596809387207
-3.884549140930176,-5.1034746170043945
-5.737706184387207,-4.141479015350342
-5.130406856536865,-5.651430130004883
-5.708262920379639,-4.860509395599365
-6.61775541305542,-4.4300537109375
-6.271563529968262,-6.215422630310059
-5.564096450805664,-6.1813578605651855
-6.382658958435059,-5.936581134796143
-2.989854574203491,-6.242197513580322
-5.670273303985596,-5.656914710998535
-5.67789888381958,-5.728694438934326
-5.311365604400635,-4.838415622711182
-5.263054847717285,-5.232532978057861
-5.627702713012695,-5.375690460205078
-6.910783290863037,-4.323608875274658
-6.089929580688477,-6.468821048736572
-5.3135457038879395,-5.621833801269531
-6.1749043464660645,-6.4671101570129395
-4.969430446624756,-5.868401527404785
-5.2616496086120605,-5.325035572052002
-6.3074235916137695,-6.3402180671691895
-5.533720970153809,-6.1707763671875
-5.835434913635254,-6.622969627380371
-5.884133338928223,-6.300298690795898
-6.611601829528809,-6.5034942626953125
-2.43619966506958,-2.5895895957946777
-4.732180595397949,-5.208614826202393
-4.502458572387695,-5.571598529815674
-6.196256637573242,-6.239908218383789
-4.063190460205078,-6.317211151123047
-6.3446879386901855,-6.4228129386901855
-5.9911603927612305,-5.694720268249512
-5.688471794128418,-5.810043811798096
-5.47289514541626,-5.954107284545898
-5.775812149047852,-2.438671350479126
-6.699471473693848,-6.631336688995361
