chosen,rejected
-5.366297245025635,-5.556286334991455
-5.366297245025635,-5.039360046386719
-5.366297245025635,-4.477804660797119
-5.556286334991455,-5.039360046386719
-4.759696006774902,-6.639157772064209
-4.759696006774902,-5.039360046386719
-4.759696006774902,-4.477804660797119
-4.759696006774902,-4.519611835479736
-5.608758449554443,-5.126850128173828
-5.059858322143555,-5.126850128173828
-6.224727153778076,-5.126850128173828
-5.0062785148620605,-5.062007904052734
-5.0062785148620605,-5.1581711769104
-5.0062785148620605,-5.126850128173828
-5.0062785148620605,-5.376382827758789
-4.997018814086914,-5.062007904052734
-4.997018814086914,-5.1581711769104
-4.997018814086914,-5.126850128173828
-4.997018814086914,-5.376382827758789
-5.309823989868164,-5.376382827758789
-5.379336833953857,-4.522499084472656
-6.807985305786133,-6.882843494415283
-6.807985305786133,-6.342756271362305
-6.35666036605835,-6.882843494415283
-6.35666036605835,-6.342756271362305
-6.35666036605835,-6.977165222167969
-6.882843494415283,-6.342756271362305
-7.000993728637695,-6.342756271362305
-7.004124641418457,-6.342756271362305
-6.977165222167969,-6.342756271362305
-5.8320088386535645,-4.2186737060546875
-5.8320088386535645,-5.685435771942139
-5.67011833190918,-4.2186737060546875
-5.48913049697876,-5.181188106536865
-5.48913049697876,-5.196592330932617
-5.48913049697876,-4.9481096267700195
-5.48913049697876,-4.702338695526123
-5.48913049697876,-4.981107711791992
-5.48913049697876,-4.687021255493164
-5.181188106536865,-4.702338695526123
-5.181188106536865,-4.981107711791992
-5.181188106536865,-4.687021255493164
-5.196592330932617,-4.687021255493164
-5.244477272033691,-4.889214992523193
-5.244477272033691,-4.687021255493164
-4.702338695526123,-4.687021255493164
-4.981107711791992,-4.687021255493164
-4.731015205383301,-4.687021255493164
-4.731015205383301,-4.937066078186035
-4.819729804992676,-4.937066078186035
-6.284731864929199,-6.600973129272461
-5.720827102661133,-6.600973129272461
-5.720827102661133,-5.5959014892578125
-5.489535331726074,-6.666042804718018
-5.489535331726074,-6.034214019775391
-5.489535331726074,-6.356627464294434
-5.489535331726074,-6.316703796386719
-6.822362899780273,-6.356627464294434
-6.822362899780273,-6.316703796386719
-6.822362899780273,-6.120209217071533
-6.494505882263184,-6.356627464294434
-6.494505882263184,-6.316703796386719
-6.494505882263184,-6.120209217071533
-6.496830940246582,-6.356627464294434
-6.496830940246582,-6.316703796386719
-6.365903854370117,-6.356627464294434
-6.365903854370117,-6.316703796386719
-6.365903854370117,-6.120209217071533
-6.365903854370117,-6.160117149353027
-6.365903854370117,-5.7411885261535645
-6.393172264099121,-6.356627464294434
-6.393172264099121,-6.316703796386719
-6.393172264099121,-6.120209217071533
-6.393172264099121,-6.160117149353027
-5.65939998626709,-5.5141754150390625
-5.65939998626709,-5.762511253356934
-5.65939998626709,-5.530888557434082
-5.431089401245117,-5.5141754150390625
-5.431089401245117,-5.762511253356934
-5.431089401245117,-5.530888557434082
-5.9065680503845215,-5.530888557434082
-5.908503532409668,-4.932844161987305
-6.204023838043213,-4.932844161987305
-5.930991172790527,-5.441543102264404
-5.930991172790527,-5.579327583312988
-5.930991172790527,-4.910013198852539
-5.930991172790527,-5.223151206970215
-5.136693000793457,-5.579327583312988
-5.136693000793457,-4.910013198852539
-5.136693000793457,-5.223151206970215
-5.136693000793457,-6.141468048095703
-5.136693000793457,-5.536783218383789
-5.136693000793457,-5.287611961364746
-5.6410932540893555,-5.579327583312988
-5.6410932540893555,-4.910013198852539
-5.6410932540893555,-5.223151206970215
-5.6410932540893555,-6.141468048095703
-5.6410932540893555,-5.536783218383789
-5.6410932540893555,-5.287611961364746
-5.666221618652344,-5.579327583312988
-5.666221618652344,-4.910013198852539
-5.666221618652344,-5.223151206970215
-5.666221618652344,-6.141468048095703
-5.666221618652344,-5.536783218383789
-5.666221618652344,-5.287611961364746
-4.458181381225586,-4.199512481689453
-5.453195571899414,-5.318922996520996
-5.453195571899414,-5.811343669891357
-5.453195571899414,-4.343311309814453
-5.453195571899414,-5.231850624084473
-5.0995402336120605,-6.217321395874023
-5.0995402336120605,-5.318922996520996
-5.0995402336120605,-5.811343669891357
-5.0995402336120605,-4.343311309814453
-5.0995402336120605,-5.231850624084473
-5.252093315124512,-5.811343669891357
-5.252093315124512,-4.170526027679443
-5.252093315124512,-4.343311309814453
-5.252093315124512,-5.9449286460876465
-5.252093315124512,-5.231850624084473
-5.252093315124512,-5.6840105056762695
-6.217321395874023,-4.343311309814453
-6.217321395874023,-5.231850624084473
-5.811343669891357,-5.231850624084473
-4.170526027679443,-5.231850624084473
-6.465840816497803,-5.6840105056762695
-6.465840816497803,-5.471580982208252
-5.2498884201049805,-4.777629375457764
-5.526614189147949,-4.777629375457764
-5.526614189147949,-4.785813331604004
-5.526614189147949,-4.730998992919922
-5.125703811645508,-4.777629375457764
-5.125703811645508,-4.785813331604004
-5.125703811645508,-4.730998992919922
-5.772188186645508,-5.680780410766602
-5.772188186645508,-4.777629375457764
-5.772188186645508,-4.785813331604004
-5.772188186645508,-4.730998992919922
-5.441115379333496,-4.777629375457764
-5.441115379333496,-4.785813331604004
-5.3896684646606445,-4.777629375457764
-5.3896684646606445,-4.785813331604004
-5.3896684646606445,-4.730998992919922
-6.003034591674805,-4.777629375457764
-6.003034591674805,-4.785813331604004
-6.003034591674805,-4.730998992919922
-5.1358466148376465,-6.153539180755615
-6.066705703735352,-6.153539180755615
-6.267699241638184,-5.501005172729492
-6.267699241638184,-6.153539180755615
-6.267699241638184,-6.229211330413818
-6.529147148132324,-5.501005172729492
-6.529147148132324,-5.745429039001465
-6.529147148132324,-6.17260217666626
-6.529147148132324,-6.353643417358398
-6.529147148132324,-6.165334701538086
-6.529147148132324,-6.153539180755615
-6.529147148132324,-6.229211330413818
-6.529147148132324,-6.2311296463012695
-6.529147148132324,-6.192941665649414
-6.529147148132324,-6.079309463500977
-5.943124771118164,-6.153539180755615
-5.745429039001465,-6.192941665649414
-6.0440263748168945,-6.079309463500977
-6.0440263748168945,-6.289447784423828
-6.0440263748168945,-6.307830810546875
-6.0440263748168945,-6.324246406555176
-5.583184719085693,-5.4886956214904785
-5.583184719085693,-5.552248001098633
-5.583184719085693,-5.599094867706299
-5.9515581130981445,-5.552248001098633
-5.9515581130981445,-5.599094867706299
-5.805604934692383,-5.599094867706299
-5.805604934692383,-6.171281814575195
-5.805604934692383,-5.358992099761963
-5.427137851715088,-5.603620529174805
-5.427137851715088,-3.9597182273864746
-5.427137851715088,-5.373143196105957
-5.427137851715088,-5.0834784507751465
-5.578963756561279,-5.540959358215332
-5.578963756561279,-3.9597182273864746
-5.578963756561279,-5.730805397033691
-5.578963756561279,-5.373143196105957
-5.578963756561279,-5.163431167602539
-5.578963756561279,-5.0834784507751465
-5.578963756561279,-5.836050987243652
-5.578963756561279,-4.820420742034912
-5.763252258300781,-5.373143196105957
-5.763252258300781,-5.0834784507751465
-5.496898651123047,-5.373143196105957
-5.496898651123047,-5.163431167602539
-5.496898651123047,-5.0834784507751465
-5.603620529174805,-5.373143196105957
-5.603620529174805,-5.0834784507751465
-5.540959358215332,-5.163431167602539
-5.540959358215332,-5.0834784507751465
-5.730805397033691,-5.373143196105957
-5.730805397033691,-5.163431167602539
-5.730805397033691,-5.0834784507751465
-3.99861216545105,-3.7836949825286865
