chosen,rejected
-3.92944073677063,-3.587771415710449
-3.92944073677063,-3.989508867263794
-3.92944073677063,-3.775811195373535
-3.587771415710449,-3.989508867263794
-3.5862600803375244,-5.704689979553223
-3.5862600803375244,-3.989508867263794
-3.5862600803375244,-3.775811195373535
-3.5862600803375244,-3.8354177474975586
-3.9543304443359375,-4.0392022132873535
-4.490466117858887,-4.0392022132873535
-6.035838603973389,-4.0392022132873535
-5.133366584777832,-4.0758209228515625
-5.133366584777832,-5.247932434082031
-5.133366584777832,-4.0392022132873535
-5.133366584777832,-5.167917251586914
-4.541749954223633,-4.0758209228515625
-4.541749954223633,-5.247932434082031
-4.541749954223633,-4.0392022132873535
-4.541749954223633,-5.167917251586914
-6.367623805999756,-5.167917251586914
-4.867881774902344,-3.8859758377075195
-5.499550819396973,-4.880576133728027
-5.499550819396973,-4.529289722442627
-5.0490946769714355,-4.880576133728027
-5.0490946769714355,-4.529289722442627
-5.0490946769714355,-4.390692710876465
-4.880576133728027,-4.529289722442627
-5.203213691711426,-4.529289722442627
-6.050139427185059,-4.529289722442627
-4.390692710876465,-4.529289722442627
-4.226420879364014,-4.147375106811523
-4.226420879364014,-3.2851722240448
-4.6087775230407715,-4.147375106811523
-1.9687421321868896,-4.402308464050293
-1.9687421321868896,-4.6270341873168945
-1.9687421321868896,-4.245162010192871
-1.9687421321868896,-3.5152838230133057
-1.9687421321868896,-4.861849784851074
-1.9687421321868896,-3.4058430194854736
-4.402308464050293,-3.5152838230133057
-4.402308464050293,-4.861849784851074
-4.402308464050293,-3.4058430194854736
-4.6270341873168945,-3.4058430194854736
-3.1537890434265137,-2.8844783306121826
-3.1537890434265137,-3.4058430194854736
-3.5152838230133057,-3.4058430194854736
-4.861849784851074,-3.4058430194854736
-3.9925360679626465,-3.4058430194854736
-3.9925360679626465,-4.095858573913574
-3.892425537109375,-4.095858573913574
-6.560585975646973,-5.03554630279541
-4.914591312408447,-5.03554630279541
-4.914591312408447,-5.618778228759766
-4.284218788146973,-6.128852844238281
-4.284218788146973,-5.207941055297852
-4.284218788146973,-4.296021461486816
-4.284218788146973,-5.7941575050354
-6.825756072998047,-4.296021461486816
-6.825756072998047,-5.7941575050354
-6.825756072998047,-5.324869632720947
-5.479127407073975,-4.296021461486816
-5.479127407073975,-5.7941575050354
-5.479127407073975,-5.324869632720947
-5.316690444946289,-4.296021461486816
-5.316690444946289,-5.7941575050354
-4.6512837409973145,-4.296021461486816
-4.6512837409973145,-5.7941575050354
-4.6512837409973145,-5.324869632720947
-4.6512837409973145,-5.4358296394348145
-4.6512837409973145,-4.993494987487793
-6.060547828674316,-4.296021461486816
-6.060547828674316,-5.7941575050354
-6.060547828674316,-5.324869632720947
-6.060547828674316,-5.4358296394348145
-5.130650520324707,-4.895496368408203
-5.130650520324707,-4.70650577545166
-5.130650520324707,-4.331904888153076
-3.797764301300049,-4.895496368408203
-3.797764301300049,-4.70650577545166
-3.797764301300049,-4.331904888153076
-5.874051094055176,-4.331904888153076
-5.91952657699585,-3.1074013710021973
-6.028342247009277,-3.1074013710021973
-4.685722351074219,-4.919378280639648
-4.685722351074219,-3.293117046356201
-4.685722351074219,-4.323919296264648
-4.685722351074219,-5.753759860992432
-4.158327102661133,-3.293117046356201
-4.158327102661133,-4.323919296264648
-4.158327102661133,-5.753759860992432
-4.158327102661133,-5.588760852813721
-4.158327102661133,-5.42823600769043
-4.158327102661133,-5.3280229568481445
-4.583131313323975,-3.293117046356201
-4.583131313323975,-4.323919296264648
-4.583131313323975,-5.753759860992432
-4.583131313323975,-5.588760852813721
-4.583131313323975,-5.42823600769043
-4.583131313323975,-5.3280229568481445
-3.4055445194244385,-3.293117046356201
-3.4055445194244385,-4.323919296264648
-3.4055445194244385,-5.753759860992432
-3.4055445194244385,-5.588760852813721
-3.4055445194244385,-5.42823600769043
-3.4055445194244385,-5.3280229568481445
-4.166127681732178,-3.899725914001465
-5.750648498535156,-4.952707290649414
-5.750648498535156,-4.637400150299072
-5.750648498535156,-4.390914440155029
-5.750648498535156,-5.304762363433838
-5.933934688568115,-5.30826997756958
-5.933934688568115,-4.952707290649414
-5.933934688568115,-4.637400150299072
-5.933934688568115,-4.390914440155029
-5.933934688568115,-5.304762363433838
-4.862639427185059,-4.637400150299072
-4.862639427185059,-4.488136291503906
-4.862639427185059,-4.390914440155029
-4.862639427185059,-5.925686836242676
-4.862639427185059,-5.304762363433838
-4.862639427185059,-4.841719627380371
-5.30826997756958,-4.390914440155029
-5.30826997756958,-5.304762363433838
-4.637400150299072,-5.304762363433838
-4.488136291503906,-5.304762363433838
-5.502776145935059,-4.841719627380371
-5.502776145935059,-4.738018989562988
-5.074143409729004,-5.033676624298096
-5.581476211547852,-5.033676624298096
-5.581476211547852,-4.828839302062988
-5.581476211547852,-4.98076868057251
-5.112178802490234,-5.033676624298096
-5.112178802490234,-4.828839302062988
-5.112178802490234,-4.98076868057251
-5.45037841796875,-5.705008506774902
-5.45037841796875,-5.033676624298096
-5.45037841796875,-4.828839302062988
-5.45037841796875,-4.98076868057251
-5.99583625793457,-5.033676624298096
-5.99583625793457,-4.828839302062988
-5.08024787902832,-5.033676624298096
-5.08024787902832,-4.828839302062988
-5.08024787902832,-4.98076868057251
-5.645460605621338,-5.033676624298096
-5.645460605621338,-4.828839302062988
-5.645460605621338,-4.98076868057251
-3.8152616024017334,-4.163458347320557
-3.844503879547119,-4.163458347320557
-4.174458980560303,-4.520984649658203
-4.174458980560303,-4.163458347320557
-4.174458980560303,-5.455533504486084
-5.931081771850586,-4.520984649658203
-5.931081771850586,-5.675638198852539
-5.931081771850586,-2.7667837142944336
-5.931081771850586,-4.521871566772461
-5.931081771850586,-4.0351409912109375
-5.931081771850586,-4.163458347320557
-5.931081771850586,-5.455533504486084
-5.931081771850586,-5.040691375732422
-5.931081771850586,-4.286166191101074
-5.931081771850586,-5.633488655090332
-4.617889404296875,-4.163458347320557
-5.675638198852539,-4.286166191101074
-5.450017929077148,-5.633488655090332
-5.450017929077148,-5.235500335693359
-5.450017929077148,-4.173698902130127
-5.450017929077148,-5.77133321762085
-5.029114246368408,-4.38677978515625
-5.029114246368408,-4.3323469161987305
-5.029114246368408,-5.403012275695801
-5.586697101593018,-4.3323469161987305
-5.586697101593018,-5.403012275695801
-4.647274494171143,-5.403012275695801
-4.647274494171143,-6.26303768157959
-4.647274494171143,-4.590886116027832
-4.62835168838501,-4.913051128387451
-4.62835168838501,-4.281559944152832
-4.62835168838501,-4.212864875793457
-4.62835168838501,-4.309983730316162
