chosen,rejected
-5.137296676635742,-4.962503433227539
-4.618206024169922,-3.8420896530151367
-5.465586185455322,-4.842045307159424
-4.923716068267822,-4.401576519012451
-4.121500015258789,-6.006826400756836
-3.962775230407715,-4.28923225402832
-4.958991050720215,-3.71358585357666
-4.7832489013671875,-3.6597156524658203
-6.0391845703125,-5.469736099243164
-4.917753219604492,-4.596435546875
-6.095100402832031,-4.755302429199219
-5.003702163696289,-4.467798709869385
-5.048312187194824,-5.551658630371094
-5.520113945007324,-5.585082530975342
-5.5474090576171875,-4.698293209075928
-4.931119441986084,-5.436537742614746
-5.0340166091918945,-5.641083240509033
-5.2526326179504395,-5.471980094909668
-4.623315811157227,-5.214924335479736
-5.996373176574707,-5.108257293701172
-6.524852752685547,-5.973791599273682
-6.464667797088623,-6.029418468475342
-6.807236194610596,-6.4593634605407715
-6.27269983291626,-6.4010186195373535
-6.395019054412842,-6.702474117279053
-6.324858665466309,-6.355779647827148
-5.5690436363220215,-6.406064033508301
-6.200605869293213,-6.2196455001831055
-6.195830345153809,-6.643806457519531
-6.5613694190979,-6.462454795837402
-5.6000471115112305,-5.804715156555176
-5.252069473266602,-6.0544023513793945
-5.854122161865234,-5.810075759887695
-5.314667701721191,-5.167555332183838
-4.831573486328125,-5.37555456161499
-6.066944122314453,-5.4232177734375
-4.860955238342285,-5.868278503417969
-5.325438499450684,-5.513006210327148
-3.334400177001953,-3.622119665145874
-4.731227874755859,-5.049352645874023
-5.756350994110107,-6.245133876800537
-5.147603988647461,-4.828542709350586
-5.270514488220215,-5.322340965270996
-4.886962890625,-4.882663249969482
-5.028361797332764,-4.5266947746276855
-5.452053546905518,-5.618422508239746
-5.714873790740967,-5.291661739349365
-4.998626232147217,-5.362975597381592
-5.359963893890381,-5.557489395141602
-3.4761483669281006,-3.9362759590148926
-6.1123270988464355,-5.641204833984375
-6.108877182006836,-6.2974138259887695
-5.736602783203125,-6.261889457702637
-5.149062633514404,-6.472627639770508
-6.57926082611084,-6.416380882263184
-4.945464611053467,-3.9439773559570312
-5.330986976623535,-4.818660736083984
-6.608437538146973,-4.642977714538574
-6.797914981842041,-3.9031686782836914
-6.62331485748291,-5.568265914916992
-5.579469680786133,-3.6497626304626465
-5.437814712524414,-5.892279624938965
-6.202200889587402,-6.291221618652344
-6.044480323791504,-5.700968265533447
-5.785438537597656,-5.489604949951172
-5.705582618713379,-5.470892906188965
-5.833515167236328,-6.255837917327881
-6.1917314529418945,-5.699204921722412
-5.50046443939209,-5.724391937255859
-5.570633888244629,-5.386022567749023
-3.020516872406006,-4.493432521820068
-4.270742416381836,-5.851093292236328
-4.910318851470947,-5.75044059753418
-5.163376808166504,-5.875614166259766
-4.286820411682129,-5.538352966308594
-3.380636692047119,-2.005692481994629
-4.420544624328613,-5.383119106292725
-5.154287338256836,-5.850892066955566
-4.316434383392334,-5.06480073928833
-5.368127346038818,-5.633754730224609
