chosen,rejected
-3.791537284851074,-3.1737465858459473
-4.192259311676025,-2.067406415939331
-4.499390125274658,-3.4038944244384766
-5.552774429321289,-5.774684906005859
-2.865955114364624,-3.217228889465332
-4.1751708984375,-6.3628082275390625
-5.605325698852539,-5.184600830078125
-4.7799224853515625,-5.614274024963379
-6.2889580726623535,-6.194769382476807
-4.630066871643066,-5.676119804382324
-5.477958679199219,-4.948367118835449
-5.5568037033081055,-4.298118591308594
-2.4351422786712646,-2.090883731842041
-1.456396460533142,-3.76863431930542
-6.077418327331543,-3.484668731689453
-1.8064923286437988,-2.4440698623657227
-3.6194705963134766,-6.077289581298828
-3.4739010334014893,-2.8209192752838135
-4.9700822830200195,-4.654967308044434
-5.263066291809082,-5.64119815826416
-1.5391654968261719,-1.4063160419464111
-5.233617782592773,-4.587990760803223
-3.245530843734741,-3.6314167976379395
-4.934134483337402,-4.673238754272461
-4.325639247894287,-5.091750621795654
-2.0122952461242676,-3.3099141120910645
-3.5993194580078125,-3.4917092323303223
-2.658539295196533,-3.749248504638672
-6.314085483551025,-5.360694885253906
1.3986796140670776,-3.055858612060547
-5.341745376586914,-5.476132392883301
-4.199724197387695,-3.989104986190796
-5.056584358215332,-5.761985778808594
-5.795453071594238,-6.252508640289307
-3.132194995880127,-3.4203391075134277
-4.3055596351623535,-4.851435661315918
-1.5754073858261108,-1.1242399215698242
-5.200663089752197,-5.248939514160156
-4.747982978820801,-4.038355827331543
-3.6083054542541504,-3.170196771621704
-5.0672125816345215,-5.473703861236572
-4.364113807678223,-4.5384321212768555
-5.751625061035156,-5.005058765411377
-4.391938209533691,-5.2243170738220215
-5.999229431152344,-6.116664886474609
-3.075639247894287,-3.4877071380615234
-2.6518311500549316,-2.799699306488037
-3.9201548099517822,-4.566302299499512
-6.309883117675781,-6.543664932250977
-5.228352069854736,-5.289725303649902
-4.147006988525391,-3.1726484298706055
-5.621373176574707,-4.664723873138428
-5.979617118835449,-6.237987518310547
-3.327671766281128,-1.3487765789031982
-2.868281364440918,-1.2746100425720215
-3.7011308670043945,-4.172735214233398
-5.660104274749756,-4.615400314331055
-6.97819709777832,-6.54194450378418
-4.655788421630859,-4.330211162567139
-4.9549055099487305,-4.243579387664795
-2.5593700408935547,-2.8638296127319336
-6.278064727783203,-6.376063346862793
-3.2808897495269775,-2.007521629333496
-5.391030311584473,-5.382843971252441
-5.637330532073975,-5.677981853485107
-5.975419521331787,-6.265199661254883
-6.070291519165039,-6.699719429016113
-3.9378268718719482,-3.6988000869750977
-6.2734270095825195,-6.413200378417969
-2.311612129211426,-3.150308132171631
-5.118330955505371,-5.016244888305664
-5.456278324127197,-5.153993606567383
-2.1580581665039062,-2.183168888092041
-4.3647871017456055,-4.139678001403809
-4.071174144744873,-3.4278440475463867
-2.144641876220703,-3.8932175636291504
-2.7489051818847656,-2.577699899673462
-3.6017794609069824,-3.5007917881011963
-0.7519276142120361,-0.98555588722229
-3.2583911418914795,-3.8826651573181152
-3.164513349533081,-0.9739071130752563
-6.40621280670166,-6.218522071838379
-5.908728122711182,-4.803601264953613
-3.0242466926574707,-2.4944205284118652
